Sản lượng nho(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
Sản lượng chôm chôm(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
1	Đồng Nai	146.518,99
2	Vĩnh Long	100.034,42
3	Tây Ninh	14.817,04
4	Cần Thơ	9.827,8
5	Lâm Đồng	8.277,31
6	Đồng Tháp	7.537,56
7	Thành phố Hồ Chí Minh	4.993,37
8	Đăk Lăk	2.974,51
9	An Giang	2.142,98
10	Gia Lai	1.750,09
11	Khánh Hoà	932,39
12	Quảng Ngãi	310,05
13	Đà Nẵng	210,84
14	Quảng Trị	95,6
15	Thừa Thiên-Huế	6,5
16	Cà Mau	4,1
17	Hà Nội	0
18	Bắc Ninh	0
19	Quảng Ninh	0
20	Hải Phòng	0
21	Hưng Yên	0
22	Ninh Bình	0
23	Cao Bằng	0
24	Tuyên Quang	0
25	Lao Cai	0
26	Thái Nguyên	0
27	Lạng Sơn	0
28	Phú Thọ	0
29	Điện Biên	0
30	Lai Châu	0
31	Sơn La	0
32	Thanh Hoá	0
33	Nghệ An	0
34	Hà Tĩnh	0
